Module,Zoho Feature,Zoho Doc Reference,Exists in BMS,Partial,Missing,Quality Score (0-10),Priority,Complexity,Estimated Effort (pw),Phase,Notes
Platform Architecture,Multi-tenant MSP client portals,Portals & Client Management,,Yes,,3,High,High,8-12,4,Location scoping only; no MSP rebranding
Platform Architecture,Cloud-native microservices,Platform Overview,,Yes,,4,Medium,High,16+,4,Monolith API + sidecar ingest/sim
Platform Architecture,Event-driven architecture (Kafka/hub),Platform Overview,,Yes,,5,Medium,Medium,6-8,2,pg_notify + Redis WS only
Platform Architecture,Plugin / adapter architecture,Edge Computing,,,Yes,0,Critical,High,10-14,2,No IngestAdapter interface
Platform Architecture,Redis pub/sub fan-out,Platform Overview,Yes,,,7,—,Low,0,—,Socket.IO Redis adapter implemented
Platform Architecture,Docker Compose deployment,Deployment,Yes,,,6,—,Low,0,—,Multi-profile compose
Platform Architecture,Kubernetes / HA,Deployment,,,Yes,0,High,High,12-16,3,Not in repo
Platform Architecture,Message queue (Rabbit/Kafka),Platform Overview,,,Yes,0,Medium,Medium,6-8,2,Deferred
Platform Architecture,CQRS,Platform Overview,,,Yes,0,Low,High,8+,4,Not applicable at current scale
Platform Architecture,Caching layer,Platform Overview,,,Yes,0,Medium,Medium,4-6,2,No Redis cache beyond WS
Platform Architecture,High availability,Deployment,,,Yes,0,High,High,12-16,3,Single Postgres instance
Device Management,Device registration API,KB - Devices,,,Yes,0,Critical,Medium,4-6,1,Seed-only via phe-pilot-seed.ts
Device Management,Provisioning / activation,KB - Devices,,,Yes,0,Critical,Medium,4-6,1,No runtime workflow
Device Management,Bulk import,KB - Devices,,Yes,,2,High,Medium,3-4,1,PHE catalog JSON import only
Device Management,Device grouping,KB - Devices,,Yes,,4,Medium,Low,2-3,2,Asset groups exist; not device groups
Device Management,Device templates,KB - Devices / Models,,Yes,,3,Critical,High,8-10,4,Static phe-catalog.json
Device Management,Metadata / labels,KB - Devices,,Yes,,4,Medium,Low,2-3,2,JSONB meta on assets
Device Management,Lifecycle states,KB - Devices,,,Yes,0,High,Medium,3-4,1,No commissioned/active/fault states
Device Management,Health monitoring,KB - Devices,,Yes,,4,High,Medium,3-4,1,Freshness heuristics on dashboards
Device Management,Last seen / heartbeat,KB - Devices,,Yes,,4,High,Medium,3-4,1,Not persisted on assets/rtus
Device Management,Connection status live/disconnected,KB - Devices,,Yes,,3,High,Medium,3,1,No per-device connection field
Device Management,Ownership,KB - Devices,,Yes,,3,Medium,Low,2,2,Org via location only
Device Management,Device cloning,KB - Devices,,,Yes,0,Low,Low,2,4,Not implemented
Device Management,Provisioning APIs,Developer API,,,Yes,0,Critical,Medium,4-6,1,No POST /devices
Device Management,X.509 certificates,Security / Devices,,,Yes,0,Medium,High,6-8,3,Not implemented
Device Management,Device gallery / product catalog,KB - Devices,,Yes,,3,Medium,Medium,4-6,2,PHE catalog snapshot only
Gateway Management,Gateway registration API,KB - Gateway Management,,Yes,,3,Critical,Medium,4-5,1,bms.rtus schema only
Gateway Management,Edge computing / Edge Agent,KB - Edge Computing,,,Yes,0,High,High,12-16,2,Zoho Edge Agent equivalent missing
Gateway Management,Offline sync / buffering,KB - Edge Computing,,,Yes,0,High,High,8-10,2,No edge buffer
Gateway Management,Retries / diagnostics,KB - Gateway Management,,,Yes,0,Medium,Medium,4-6,2,Ingest drops bad JSON silently
Gateway Management,Gateway firmware OTA,KB - Devices / OTA,,,Yes,0,Medium,High,10+,4,Not implemented
Gateway Management,Gateway health monitoring,KB - Gateway Management,,Yes,,3,High,Medium,3-4,1,Shown in location dashboard only
Gateway Management,LoRaWAN LNS integration,KB - Data Streams,,,Yes,0,Low,High,8+,4,Deferred per AGENTS.md
Gateway Management,Per-gateway MQTT topic binding,KB - Data Streams / MQTT,Yes,,,6,—,Low,0,—,bms.rtus.mqtt_topic + ingest app
Gateway Management,Modbus RTU over TCP (edge),KB - Edge Computing,,,Yes,0,Critical,High,10-14,2,Edge agent not implemented
Communication Protocols,MQTT TLS,KB - MQTT,Yes,,,6,—,Low,0,—,apps/ingest pilot only
Communication Protocols,MQTT SSL broker management,KB - MQTT,,Yes,,5,Medium,Medium,4,2,Direct ThinkIoT connection
Communication Protocols,HTTP REST,Developer API,Yes,,,7,—,Low,0,—,NestJS /api/v1
Communication Protocols,HTTPS,Developer API,Yes,,,7,—,Low,0,—,TLS at deploy layer
Communication Protocols,WebSocket,Platform Overview,Yes,,,7,—,Low,0,—,Socket.IO telemetry + alarms
Communication Protocols,CoAP,Features page,,,Yes,0,Low,High,8+,4,Not implemented
Communication Protocols,Modbus RTU,Edge Computing / IIoT,,,Yes,0,Critical,High,10-14,2,Out of scope AGENTS.md
Communication Protocols,Modbus TCP,Edge Computing / IIoT,,,Yes,0,Critical,High,10-14,2,Out of scope AGENTS.md
Communication Protocols,OPC-UA,Edge Computing,,,Yes,0,High,High,10-14,2,Not implemented
Communication Protocols,BACnet,Features / Smart Buildings,,,Yes,0,High,High,10-14,2,Not implemented
Communication Protocols,LoRaWAN,KB - Data Streams,,,Yes,0,Low,High,8-12,4,Not implemented
Communication Protocols,BLE / ZigBee,Features page,,,Yes,0,Low,High,8+,4,Not implemented
Communication Protocols,CAN / RS232 / RS485,IIoT solution page,,,Yes,0,Low,High,8+,4,Not implemented
Communication Protocols,Postgres NOTIFY (internal),—,Yes,,,6,—,Low,0,—,Internal fan-out pattern
Device Models,Template + instance propagation,KB - Models,,Yes,,2,Critical,High,10-12,4,Hardcoded point maps
Device Models,Model inheritance / clone,KB - Models,,,Yes,0,Medium,Medium,4,4,Not implemented
Device Models,Reusable datapoint definitions,KB - Models,,Yes,,4,High,High,8-10,2,bms.asset_points partial
Device Models,Command templates,KB - Models,,,Yes,0,Critical,Medium,6-8,2,Not implemented
Device Models,Alarm rule templates,KB - Alarms,,,Yes,0,High,Medium,4-6,1,Hardcoded AlarmThresholdService
Device Models,Events,KB - Models,,,Yes,0,Medium,Medium,4,3,Telemetry only
Device Models,Validation rules,KB - Models,,Yes,,3,Medium,Medium,3-4,2,Minimal ingest validation
Device Models,Message formatter / handler,KB - Custom Functions,,Yes,,3,High,Medium,4-6,2,Fixed JSON parse in ingest
Device Models,Computed / KPI datapoints,KB - Models,,,Yes,0,Medium,High,6-8,3,PUE estimate in dashboard only
Asset Management,Asset CRUD API,KB - Assets,,Yes,,2,Critical,Medium,4-6,1,GET /assets read-only
Asset Management,Parent-child hierarchy (5 levels),KB - Assets,,Yes,,4,Medium,Medium,4-6,3,Org→Location→RTU→Asset only
Asset Management,Asset groups,KB - Assets,Yes,,,7,—,Low,0,—,bms.asset_groups implemented
Asset Management,Tags / metadata,KB - Assets,,Yes,,5,Medium,Low,2,2,JSONB meta field
Asset Management,Asset health score,KB - Assets,,Yes,,4,Medium,Medium,3-4,2,Derived from telemetry freshness
Asset Management,Asset history / audit,KB - Assets,,Yes,,3,Medium,Medium,3-4,3,Work order history partial
Asset Management,Manage/unmanage (disable processing),KB - Assets,,,Yes,0,Medium,Low,2,2,ingest_enabled on RTU only
Location Management,Site/building/floor/room tree,KB - Locations,,Yes,,5,Medium,Medium,6-8,3,Flat locations; no floor/room
Location Management,Geolocation,KB - Locations,Yes,,,7,—,Low,0,—,lat/long on bms.locations
Location Management,Maps (Leaflet),KB - Dashboards / Maps,Yes,,,7,—,Low,0,—,World map + location markers
Location Management,Geo hierarchy operators,KB - Locations,,Yes,,4,Medium,Medium,3,4,Location scoping partial
Location Management,Geofencing + enter/exit alarms,KB - Locations,,,Yes,0,Low,High,8-10,4,Not implemented
Location Management,Location history playback,KB - Locations,,,Yes,0,Low,Medium,6,4,Not implemented
Location Management,Location CRUD API,KB - Locations,,Yes,,3,High,Medium,3-4,1,Read-only dashboard APIs
Location Management,Org → Location hierarchy,KB - Locations,Yes,,,7,—,Low,0,—,ADR 0008 implemented
Telemetry,Ingestion pipeline,KB - Data Streams,Yes,,,7,—,Medium,0,—,Sim + MQTT ingest
Telemetry,Validation / transformation,KB - Data Streams,,Yes,,3,High,Medium,4-6,2,Minimal parse; silent drop
Telemetry,Raw message storage,KB - Data Streams,,,Yes,0,Medium,Medium,3-4,2,Zoho stores 1-2 months raw
Telemetry,Historical data query,Developer API,Yes,,,6,—,Low,0,—,GET telemetry/points/recent
Telemetry,Compression,TimescaleDB,,,Yes,0,Medium,Low,1-2,2,Not configured
Telemetry,Retention policies,Administration,,,Yes,0,High,Medium,2-3,1,Unbounded disk growth risk
Telemetry,Archival / cold storage,Administration,,,Yes,0,Low,High,8+,4,Not implemented
Time Series DB,Timescale hypertable,—,Yes,,,7,—,Low,0,—,telemetry.point_values
Time Series DB,Partitioning (1-day chunks),—,Yes,,,7,—,Low,0,—,chunk_time_interval = 1 day
Time Series DB,Dashboard indexes,—,Yes,,,6,—,Low,0,—,0011_telemetry_dashboard_indexes.sql
Time Series DB,Continuous aggregates,AGENTS.production.md,,,Yes,0,High,Medium,4-6,2,Documented not migrated
Time Series DB,Rollups / aggregation API,Developer API,,Yes,,5,High,Medium,3-4,2,Dashboard inline SQL only
Time Series DB,Retention enforcement,Administration,,,Yes,0,High,Medium,2-3,1,Missing
Dashboards,Drag-drop builder,KB - Dashboards,,,Yes,0,Medium,High,12-16,4,Fixed React routes
Dashboards,20+ widget types,KB - Dashboards,,Yes,,5,Medium,High,10+,4,ECharts + KPI cards subset
Dashboards,KPI cards / ribbons,KB - Dashboards,Yes,,,7,—,Low,0,—,Executive + location dashboards
Dashboards,Charts (line/bar/pie),KB - Dashboards,Yes,,,7,—,Low,0,—,ECharts
Dashboards,Gauges / dials,KB - Dashboards,,Yes,,5,Medium,Medium,3-4,3,Partial in control room
Dashboards,Maps,KB - Dashboards,Yes,,,7,—,Low,0,—,Leaflet world map
Dashboards,Tables / cards,KB - Dashboards,Yes,,,7,—,Low,0,—,Location accordion + KPI cards
Dashboards,Live widgets (WebSocket),KB - Dashboards,Yes,,,7,—,Low,0,—,Real-time telemetry WS
Dashboards,Custom user dashboards,KB - Dashboards,,,Yes,0,Medium,High,8-10,4,Not implemented
Dashboards,Role-based dashboards,KB - Dashboards,,Yes,,5,Medium,Medium,4-6,3,Asset-group gating partial
Dashboards,Public URL sharing,KB - Dashboards,,,Yes,0,Low,Medium,3-4,4,Not implemented
Dashboards,Control-room SVG schematics,—,Yes,,,8,—,Medium,0,—,BMS strength vs Zoho
Dashboards,Threshold lines / time comparison,KB - Dashboards,,Yes,,4,Medium,Medium,3-4,3,Basic chart config only
Reports,Self-service report builder,KB - Reports,,,Yes,0,Medium,High,10+,4,Not implemented
