Ref,Priority,SOW clause,What we need,Our current assumption,Assumption confirmed? (C/X),Your answer,Owner,Target date,Attachment,Status
A1,1 - Take first,"§4.1, §3","Tag list / P&ID / I/O schedule / SCADA export from ONE plant, any type. Redacted is fine.","(No assumption to confirm — we simply do not hold a tag list, and are designing water templates by inference from IESL's published remote-monitoring packages.)",,,,,,
A2,1 - Take first,"§1, §2, §4, §14",Overlay boundary: who authors template content; what form your AI models take (container / package / hosted API) and their interface; one worked example.,We author the first water template pack and Ion Exchange owns it thereafter; the §4.2-4.5 AI models are yours to supply and ours to serve.,,,,,,
A4,1 - Take first,§10,"Which protocol first and second; PLC/DCS/SCADA manufacturer, model and firmware version; register map or device manual; RTU/gateway/site count for phase 1; can we read from an existing SCADA or historian.","Points are reachable over an IP network and no vendor-licensed driver, paid SDK or proprietary gateway is required. MQTT stays first because it is already live.",,,,,,
A5,1 - Take first,§11,Phase-1 deployment model (cloud / on-prem / hybrid); who operates it; network path out of the plant and who authorises it; VPN requirement; date we can access a real device or test bench.,"PROPOSED PHASING (not an assumption): §11 requires cloud, on-premise and hybrid. We propose building and proving ONE of the three in phase 1 and need to know which. Who operates the phase-1 environment is an open commercial point.",,,,,,
A3a,2 - Part A,§3,"Is ETP in the first template set? Are the drafted four (RO, cooling water, STP, softener) the right starting point?","First template set is RO, cooling water/cooling towers, STP and softeners. ETP is not included.",,,,,,
A3b,2 - Part A,§3,"First industry and end-customer; first physical site, plant type and approximate asset count.",None held.,,,,,,
A6,2 - Part A,§11,What constitutes a tenant (end-customer vs business unit); do end-customer staff hold logins; is multi-tenancy required in phase 1.,"PROPOSED PHASING (not an assumption): §11 requires multi-tenant architecture and we are designing for it. We propose phase 1 is commissioned as a single tenant, with the tenant defined as an Ion Exchange end customer.",,,,,,
B7,3 - Part B,§4.1,"Alarm setpoints: set per site at commissioning, or does Ion Exchange apply standard setpoints across plants?",Templates name which parameters to alarm on and what each means; limit values are set per site at commissioning.,,,,,,
B8,3 - Part B,§3,Discharge route(s) for effluent and sewage plants: inland surface water / public sewer / irrigation / recycle and reuse.,"Plants span several discharge routes, so templates ship no default limit values.",,,,,,
B9,3 - Part B,§5,"Severity ladder: Critical-High-Warning or Critical-Warning-Info, with operational definitions. Are severity and priority two axes or one?","The existing Critical / Warning / Info ladder is retained, with severity and priority treated as one axis.",,,,,,
