EdgeRTUId,RTUCode,EdgeRTUName,StationCode,StationName,RegionCode,RegionName,OrgCode,OrgName,DeviceId,DeviceCode,DeviceRole,SensorCode,SensorName,DataUnitCode,SuggestedBmsPointKey,DataKey
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,54,AIRSP1051M-000000014,solar_edge_controller,BC,Battery Charge,NA,battery_charge_pct,batt_volt
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,54,AIRSP1051M-000000014,solar_edge_controller,CPS,Controller Power Status,NA,controller_power_status,pwr_stat
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,54,AIRSP1051M-000000014,solar_edge_controller,NS,Network Strength,NA,network_strength,rssi
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,54,AIRSP1051M-000000014,solar_edge_controller,TS,TimeStamp,NA,ts,ts
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,electrical_meter,APF,Average Power Factor,NA,pf,s08_r01
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,electrical_meter,APV,Average Phase Voltage,V,voltage_l1_v,s01_r01
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,electrical_meter,FR,Frequency,Hz,frequency_hz,s08_r02
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,electrical_meter,IB,IB,A,current_a,s07_r01
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,electrical_meter,IR,IR,A,current_a,s05_r01
15,R0000015,Amdanga Test I,TEST-1,Amdanga Test I,CB15,Amdanga,O-000018,Cherry Blossom School,60,MFM-000000014,electrical_meter,IY,IY,A,current_a,s06_r01
